player_id,name,season,goals,assists,minutes,age,position,appearance_count,stats_through,valuation_date,actual_eur
433188,Curtis Jones,2021,1.0,1.0,856.0,21.37210209655229,Midfield,15,2022-05-17,2022-06-15,28000000
112988,Cédric Soares,2021,1.0,1.0,1484.0,30.790502200592755,Defender,21,2022-05-22,2022-06-15,6000000
57500,César Azpilicueta,2021,1.0,2.0,2074.0,32.79738803671533,Defender,27,2022-05-22,2022-06-15,9000000
134270,Dan Burn,2021,1.0,1.0,2462.0,30.10054963483165,Defender,29,2022-05-22,2022-06-15,12000000
214056,Daniel Amartey,2021,0.0,0.0,2118.0,27.48311053615064,Defender,28,2022-05-22,2022-06-15,10000000
120186,Daniel Bachmann,2021,0.0,0.0,1080.0,27.934865192303743,Goalkeeper,12,2022-05-22,2022-06-15,2500000
319301,Daniel James,2021,4.0,5.0,2499.0,24.594618643777764,Attack,34,2022-05-11,2022-06-15,18000000
256977,Daniel Podence,2021,2.0,3.0,1484.0,26.650786806026133,Attack,26,2022-05-15,2022-06-15,20000000
134294,Danny Ings,2021,7.0,6.0,1905.0,29.895206609307515,Attack,30,2022-05-22,2022-06-15,20000000
50174,Danny Rose,2021,0.0,0.0,689.0,31.954112678562872,Defender,8,2021-12-04,2022-06-15,2200000
67063,Danny Welbeck,2021,6.0,3.0,1476.0,31.55164034853556,Attack,25,2022-05-22,2022-06-15,4000000
262749,David Raya,2021,0.0,0.0,2160.0,26.74935145827772,Goalkeeper,24,2022-05-22,2022-06-15,22000000
59377,David de Gea,2021,0.0,0.0,3420.0,31.603660581668343,Goalkeeper,38,2022-05-22,2022-06-15,15000000
341429,Davinson Sánchez,2021,2.0,0.0,1626.0,26.007378659383832,Defender,23,2022-05-22,2022-06-15,28000000
357662,Declan Rice,2021,1.0,4.0,3178.0,23.417318630772705,Midfield,36,2022-05-22,2022-06-15,80000000
431755,Dejan Kulusevski,2021,5.0,8.0,1267.0,22.138716058509072,Midfield,18,2022-05-22,2022-06-15,40000000
207929,Dele Alli,2021,1.0,0.0,988.0,26.17712889381712,Midfield,21,2022-05-22,2022-06-15,16000000
292417,Demarai Gray,2021,5.0,4.0,2351.0,25.963572147272018,Attack,34,2022-05-22,2022-06-15,22000000
246291,Diego Llorente,2021,3.0,0.0,2343.0,28.830160783588983,Defender,28,2022-05-22,2022-06-15,18000000
295630,Dimitrios Giannoulis,2021,0.0,1.0,1166.0,26.661738434054087,Defender,18,2022-05-22,2022-06-15,5000000
357147,Diogo Dalot,2021,0.0,0.0,1797.0,23.24483048933243,Defender,24,2022-05-22,2022-06-15,20000000
340950,Diogo Jota,2021,15.0,6.0,2374.0,25.528244933160845,Attack,35,2022-05-22,2022-06-15,60000000
306024,Dominic Calvert-Lewin,2021,5.0,2.0,1287.0,25.24897841844802,Attack,17,2022-05-22,2022-06-15,40000000
288255,Donny van de Beek,2021,2.0,0.0,553.0,25.158627487217395,Midfield,15,2022-05-22,2022-06-15,25000000
